,Funding Rank,InstitutionName,Percentage of Women,Rescaled Rank,AwardedAmount,Men,Women
0,0,UCLA,9.090909090909092,12,84289354.0,50.0,5.0
1,1,University of Michigan,18.461538461538463,14,57010768.0,53.0,12.0
2,2,Brown,8.333333333333332,10,53770574.0,22.0,2.0
3,3,UC Berkeley,11.11111111111111,4,53189368.0,56.0,7.0
4,4,University of Chicago,10.526315789473683,2,51632352.0,34.0,4.0
5,5,UNC,15.789473684210526,29,51082824.0,32.0,6.0
6,6,University of Minnesota Twin Cities,11.627906976744185,24,48187690.0,76.0,10.0
7,7,Princeton,5.263157894736842,1,47213787.0,54.0,3.0
8,8,Stanford,13.333333333333334,5,42721062.0,39.0,6.0
9,9,University of Wisconsin-Madison,14.285714285714285,17,42523606.0,42.0,7.0
10,10,Georgia Tech,17.24137931034483,47,41189410.0,48.0,10.0
11,11,MIT,10.76923076923077,3,40922061.0,58.0,7.0
12,12,UT Austin,14.516129032258066,20,40624452.0,53.0,9.0
13,13,University of Illinois Urbana-Champaign,7.894736842105263,31,37293237.0,70.0,6.0
14,14,UC San Diego,12.307692307692308,28,35325731.0,57.0,8.0
15,15,UC Irvine,11.76470588235294,35,35217336.0,30.0,4.0
16,16,Ohio State University,13.084112149532709,44,33979392.0,93.0,14.0
17,17,UW,16.3265306122449,21,33679467.0,41.0,8.0
18,18,NYU,5.333333333333334,9,32848028.0,71.0,4.0
19,19,Harvard,15.789473684210526,0,31238184.0,16.0,3.0
20,20,UC Davis,18.0,40,30859277.0,41.0,9.0
21,21,Columbia,12.5,7,30731999.0,49.0,7.0
22,22,Penn State,13.333333333333334,27,30189646.0,52.0,8.0
23,23,Northwestern,21.73913043478261,26,29750562.0,36.0,10.0
24,24,University of Maryland College Park,8.955223880597014,22,29593475.0,61.0,6.0
25,25,University of Utah,16.94915254237288,49,29439547.0,49.0,10.0
26,26,Texas A&M,14.814814814814813,61,28314598.0,69.0,12.0
27,27,Cornell,12.5,15,27539372.0,56.0,8.0
28,28,Purdue,15.942028985507244,38,27384254.0,58.0,11.0
29,29,Michigan State,16.94915254237288,45,25444573.0,49.0,10.0
30,30,North Carolina State,20.33898305084746,96,25008197.0,47.0,12.0
31,31,University of Illinois Chicago,18.333333333333332,53,23174470.0,49.0,11.0
32,32,Carnegie Mellon,7.6923076923076925,32,22891370.0,36.0,3.0
33,33,Duke,21.91780821917808,54,22439849.0,57.0,16.0
34,34,UPenn,12.5,13,20112298.0,28.0,4.0
35,35,SUNY Stony Brook,13.157894736842104,19,19268954.0,33.0,5.0
36,36,University of Notre Dame,13.333333333333334,39,18435840.0,39.0,6.0
37,37,Indiana University Bloomington,8.695652173913043,25,18052559.0,42.0,4.0
38,38,University of Arizona,17.142857142857142,36,16531562.0,29.0,6.0
39,39,Yale,17.647058823529413,6,16239530.0,28.0,6.0
40,40,Caltech,15.789473684210526,8,14903240.0,16.0,3.0
41,41,Johns Hopkins,22.22222222222222,16,14843050.0,14.0,4.0
42,42,University of Pittsburgh,5.88235294117647,42,14685956.0,32.0,2.0
43,43,University of Southern California,10.76923076923077,59,14410967.0,58.0,7.0
44,44,University of Houston,12.244897959183673,99,13211145.0,43.0,6.0
45,45,CU Boulder,17.647058823529413,62,11782059.0,42.0,9.0
46,46,LSU,9.615384615384617,56,11444886.0,47.0,5.0
47,47,UC Santa Barbara,9.090909090909092,34,11438705.0,30.0,3.0
