InstitutionName,State,Total Men,Total Women,Total Percentage of Women,InstitutionId,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
Georgia Tech,Georgia,48,10,17.24137931,82,Field,Mathematics,46,11,39,0.56956013,47
UC Berkeley,California,56,7,11.11111111,251,Field,Mathematics,381,106,0,0.901592,4
Duke,North Carolina,57,16,21.91780822,60,Field,Mathematics,40,11,49,0.5282424,54
University of Michigan,Michigan,53,12,18.46153846,300,Field,Mathematics,190,48,5,0.7731831,14
University of Arizona,Arizona,29,6,17.14285714,247,Field,Mathematics,51,12,35,0.61720814,36
Washington University St. Louis,Missouri,28,5,15.15151515,358,Field,Mathematics,41,11,45,0.62604969,33
NYU,New York,71,4,5.333333333,146,Field,Mathematics,169,39,7,0.82443589,9
Howard,DC,25,5,16.66666667,90,Field,Mathematics,5,2,139,0.26899042,141
Harvard,Massachusetts,16,3,15.78947368,87,Field,Mathematics,214,56,3,1,0
Caltech,California,16,3,15.78947368,31,Field,Mathematics,76,15,26,0.82658916,8
Northwestern,Illinois,36,10,21.73913043,153,Field,Mathematics,68,20,28,0.66122018,26
Vanderbilt,Tennessee,50,3,5.660377358,351,Field,Mathematics,27,12,65,0.48054811,70
MIT,Massachusetts,58,7,10.76923077,123,Field,Mathematics,280,73,2,0.91498567,3
Princeton,New Jersey,54,3,5.263157895,167,Field,Mathematics,301,85,1,0.99758646,1
UCLA,California,50,5,9.090909091,254,Field,Mathematics,139,34,10,0.78836286,12
University of Maryland College Park,Maryland,61,6,8.955223881,289,Field,Mathematics,103,25,18,0.67509498,22
University of Southern California,California,58,7,10.76923077,335,Field,Mathematics,23,7,73,0.50860401,60
UConn,Connecticut,42,12,22.22222222,267,Field,Mathematics,38,8,51,0.48511222,69
Ohio State University,Ohio,93,14,13.08411215,156,Field,Mathematics,101,33,19,0.58017787,44
University of Oregon,Oregon,29,4,12.12121212,325,Field,Mathematics,17,4,83,0.51648901,58
Columbia,New York,49,7,12.5,49,Field,Mathematics,119,38,16,0.82697289,7
Rice,Texas,18,4,18.18181818,172,Field,Mathematics,47,19,34,0.72536201,18
Indiana University Bloomington,Indiana,42,4,8.695652174,96,Field,Mathematics,91,30,24,0.66574007,25
UC Irvine,California,30,4,11.76470588,253,Field,Mathematics,35,10,56,0.6187429,35
LSU,Louisiana,47,5,9.615384615,109,Field,Mathematics,35,15,48,0.51685477,57
Rutgers - Newark,New Jersey,12,3,20,369,Field,Mathematics,1,1,200,0.45858935,80
University of Wisconsin-Madison,Wisconsin,42,7,14.28571429,347,Field,Mathematics,175,68,6,0.73164767,17
Cornell,New York,56,8,12.5,51,Field,Mathematics,165,54,9,0.75577261,15
UC Riverside,California,23,3,11.53846154,255,Field,Mathematics,11,4,98,0.46195003,79
Boston College,Massachusetts,19,4,17.39130435,23,Field,Mathematics,4,2,130,0.51018867,59
UC Davis,California,41,9,18,252,Field,Mathematics,37,10,52,0.59055153,40
University of Notre Dame,Indiana,39,6,13.33333333,323,Field,Mathematics,37,12,55,0.60381027,39
University of Georgia,Georgia,31,4,11.42857143,274,Field,Mathematics,47,16,40,0.5662483,48
Teachers College Columbia,New York,13,11,45.83333333,211,Field,Mathematics,3,2,154,0.33449589,116
Johns Hopkins,Maryland,14,4,22.22222222,102,Field,Mathematics,33,7,59,0.74236514,16
University of Miami,Florida,23,2,8,299,Field,Mathematics,7,1,110,0.42836459,96
UMass Amherst,Massachusetts,38,7,15.55555556,293,Field,Mathematics,21,5,76,0.48641538,67
UNC,North Carolina,32,6,15.78947368,316,Field,Mathematics,59,18,31,0.64172465,29
University of Vermont,Vermont,23,7,23.33333333,344,Field,Mathematics,2,1,163,0.24300573,156
University of New Mexico,New Mexico,26,5,16.12903226,314,Field,Mathematics,19,10,78,0.43481411,93
Penn State,Pennsylvania,52,8,13.33333333,163,Field,Mathematics,92,33,22,0.64598407,27
University of Utah,Utah,49,10,16.94915254,343,Field,Mathematics,51,17,32,0.55476523,49
Arizona State,Arizona,79,28,26.1682243,12,Field,Mathematics,38,12,44,0.32270854,119
Purdue,Indiana,58,11,15.94202899,168,Field,Mathematics,134,49,11,0.61241497,38
University of Illinois Chicago,Illinois,49,11,18.33333333,279,Field,Mathematics,37,14,53,0.53366696,53
Boston University,Massachusetts,38,8,17.39130435,24,Field,Mathematics,24,5,71,0.54324798,50
Yale,Connecticut,28,6,17.64705882,368,Field,Mathematics,112,33,17,0.85000875,6
Dartmouth,New Hampshire,17,8,32,55,Field,Mathematics,13,3,84,0.49553556,64
SUNY Stony Brook,New York,33,5,13.15789474,205,Field,Mathematics,75,15,27,0.71701057,19
Carnegie Mellon,Pennsylvania,36,3,7.692307692,34,Field,Mathematics,42,11,46,0.63254746,32
Northeastern,Massachusetts,38,3,7.317073171,150,Field,Mathematics,12,3,99,0.54130929,51
University of Wisconsin-Milwaukee,Wisconsin,29,3,9.375,348,Field,Mathematics,10,2,105,0.28863756,130
Colorado State,Colorado,30,10,25,48,Field,Mathematics,36,12,41,0.48641341,68
University of Rochester,New York,19,2,9.523809524,329,Field,Mathematics,26,8,70,0.64064308,30
