InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
2,Air Force Institute of Technology,Field,Mathematics,14,6,91,0.11801475,202
12,Arizona State,Field,Mathematics,38,12,44,0.32270854,119
15,Auburn,Field,Mathematics,15,3,85,0.27121491,140
20,Baylor,Field,Mathematics,8,3,116,0.2954718,128
23,Boston College,Field,Mathematics,4,2,130,0.51018867,59
24,Boston University,Field,Mathematics,24,5,71,0.54324798,50
25,Bowling Green State,Field,Mathematics,6,1,128,0.26285481,146
26,Brandeis,Field,Mathematics,35,10,57,0.78978345,11
28,Brown,Field,Mathematics,122,26,14,0.81188578,10
263,CU Boulder,Field,Mathematics,35,9,50,0.50105571,63
266,CU Denver,Field,Mathematics,6,1,129,0.22051267,169
31,Caltech,Field,Mathematics,76,15,26,0.82658916,8
34,Carnegie Mellon,Field,Mathematics,42,11,46,0.63254746,32
35,Case Western Reserve,Field,Mathematics,21,7,77,0.54010616,52
37,Central Michigan,Field,Mathematics,2,1,178,0.15629708,196
43,Clarkson,Field,Mathematics,5,1,135,0.20696891,176
44,Clemson,Field,Mathematics,15,11,88,0.23934626,160
48,Colorado State,Field,Mathematics,36,12,41,0.48641341,68
49,Columbia,Field,Mathematics,119,38,16,0.82697289,7
51,Cornell,Field,Mathematics,165,54,9,0.75577261,15
55,Dartmouth,Field,Mathematics,13,3,84,0.49553556,64
60,Duke,Field,Mathematics,40,11,49,0.5282424,54
66,Emory,Field,Mathematics,26,6,66,0.46995849,72
73,Florida State,Field,Mathematics,40,13,38,0.49102718,65
80,George Washington,Field,Mathematics,10,3,103,0.47560758,71
83,Georgia State,Field,Mathematics,6,3,132,0.25591753,151
82,Georgia Tech,Field,Mathematics,46,11,39,0.56956013,47
87,Harvard,Field,Mathematics,214,56,3,1,0
90,Howard,Field,Mathematics,5,2,139,0.26899042,141
93,Illinois State,Field,Mathematics,9,3,112,0.19675243,182
96,Indiana University Bloomington,Field,Mathematics,91,30,24,0.66574007,25
99,Iowa State,Field,Mathematics,29,10,60,0.44521693,89
102,Johns Hopkins,Field,Mathematics,33,7,59,0.74236514,16
103,Kansas State,Field,Mathematics,13,1,94,0.44659156,87
104,Kent State,Field,Mathematics,29,6,63,0.34241112,113
109,LSU,Field,Mathematics,35,15,48,0.51685477,57
105,Lehigh,Field,Mathematics,4,4,147,0.46675094,75
112,Louisiana Tech,Field,Mathematics,1,1,165,0.16443051,192
114,Loyola University Chicago,Field,Mathematics,1,1,191,0.28682715,131
123,MIT,Field,Mathematics,280,73,2,0.91498567,3
119,Marquette,Field,Mathematics,1,1,210,0.11940061,201
132,Michigan State,Field,Mathematics,89,24,23,0.57872287,45
136,Mississippi State,Field,Mathematics,2,1,180,0.09146189,207
306,Missouri S&T,Field,Mathematics,6,3,119,0.27271203,138
137,Montana State,Field,Mathematics,9,3,100,0.2561832,149
146,NYU,Field,Mathematics,169,39,7,0.82443589,9
143,New Mexico State,Field,Mathematics,12,5,95,0.35059188,112
148,North Carolina State,Field,Mathematics,44,12,36,0.41387012,98
150,Northeastern,Field,Mathematics,12,3,99,0.54130929,51
152,Northern Illinois,Field,Mathematics,6,3,126,0.2670236,143
153,Northwestern,Field,Mathematics,68,20,28,0.66122018,26
156,Ohio State University,Field,Mathematics,101,33,19,0.58017787,44
157,Ohio University,Field,Mathematics,4,3,144,0.18225587,189
158,Oklahoma State,Field,Mathematics,18,2,80,0.37544918,104
159,Old Dominion,Field,Mathematics,8,3,113,0.19670095,183
161,Oregon State,Field,Mathematics,13,8,89,0.43216794,95
163,Penn State,Field,Mathematics,92,33,22,0.64598407,27
165,Portland State,Field,Mathematics,8,2,114,0.27869874,135
167,Princeton,Field,Mathematics,301,85,1,0.99758646,1
168,Purdue,Field,Mathematics,134,49,11,0.61241497,38
171,Rensselaer Polytechnic Institute,Field,Mathematics,24,10,68,0.57301256,46
172,Rice,Field,Mathematics,47,19,34,0.72536201,18
177,Rutgers - New Brunswick,Field,Mathematics,94,16,21,0.67417308,23
369,Rutgers - Newark,Field,Mathematics,1,1,200,0.45858935,80
203,SUNY Binghamton,Field,Mathematics,18,7,81,0.46690318,74
205,SUNY Stony Brook,Field,Mathematics,75,15,27,0.71701057,19
178,Saint Louis University,Field,Mathematics,1,1,179,0.2593003,148
193,Southern Methodist,Field,Mathematics,4,1,141,0.31977121,122
198,Stanford,Field,Mathematics,172,39,8,0.88661975,5
200,Stevens Institute of Technology,Field,Mathematics,5,3,140,0.42077824,97
210,Syracuse,Field,Mathematics,13,7,86,0.43555252,92
211,Teachers College Columbia,Field,Mathematics,3,2,154,0.33449589,116
212,Temple,Field,Mathematics,9,2,107,0.40593666,99
215,Texas A&M,Field,Mathematics,63,13,29,0.50500659,62
64,Texas A&M University-Commerce,Field,Mathematics,2,2,171,0.02396437,221
221,Texas State,Field,Mathematics,1,1,175,0.18671629,187
222,Texas Tech,Field,Mathematics,7,1,106,0.22108734,168
237,Tufts,Field,Mathematics,7,1,125,0.44623158,88
238,Tulane,Field,Mathematics,17,10,82,0.48931816,66
251,UC Berkeley,Field,Mathematics,381,106,0,0.901592,4
252,UC Davis,Field,Mathematics,37,10,52,0.59055153,40
253,UC Irvine,Field,Mathematics,35,10,56,0.6187429,35
255,UC Riverside,Field,Mathematics,11,4,98,0.46195003,79
